date,material,receiving,quantity,ori_deployment_uid,actual_ship_date
2025-09-10,80813644,C810,37,80813644|0386|C810|2025-09-08|net demand for normal|000015,2025-09-08
2025-09-10,80813608,C810,57,80813608|0386|C810|2025-09-08|net demand for normal|000019,2025-09-08
2025-09-10,80813644,C810,46,80813644|0386|C810|2025-09-08|net demand for AO|000014,2025-09-08
2025-09-10,80813608,C810,33,80813608|0386|C810|2025-09-08|net demand for AO|000018,2025-09-08
2025-09-10,80813644,C816,40,80813644|0386|C816|2025-09-08|net demand for normal|000013,2025-09-08
2025-09-10,80813608,C816,75,80813608|0386|C816|2025-09-08|net demand for normal|000017,2025-09-08
2025-09-10,80813644,C816,40,80813644|0386|C816|2025-09-08|net demand for AO|000012,2025-09-08
2025-09-10,80813608,C816,75,80813608|0386|C816|2025-09-08|net demand for AO|000016,2025-09-08
