date,material,receiving,quantity,ori_deployment_uid,actual_ship_date
2025-09-12,80813644,C810,100,80813644|0386|C810|2025-09-10|net demand for normal|000028,2025-09-10
2025-09-12,80813608,C810,100,80813608|0386|C810|2025-09-10|net demand for normal|000031,2025-09-10
2025-09-12,80813644,C810,80,80813644|0386|C810|2025-09-10|net demand for AO|000027,2025-09-10
2025-09-12,80813608,C810,75,80813608|0386|C810|2025-09-10|net demand for AO|000030,2025-09-10
2025-09-12,80813644,C816,40,80813644|0386|C816|2025-09-10|net demand for AO|000026,2025-09-10
2025-09-12,80813608,C816,75,80813608|0386|C816|2025-09-10|net demand for AO|000029,2025-09-10
