timestamp,date,event_type,message
2026-01-21T11:11:47.771524,2025-10-06,INIT_INVENTORY,Initialized 515 inventory records
2026-01-21T11:11:47.776450,2025-10-06,OPEN_DEPLOYMENT_CLEANUP,Removed 0 past-due open deployments (grace_days=100)
2026-01-21T11:11:54.173463,2025-10-06,M1_SHIPMENTS,Processed 282 shipments
2026-01-21T11:12:31.952957,2025-10-06,M5_DEPLOYMENT,Added 64 deployment plans
2026-01-21T11:12:48.299652,2025-10-06,OPEN_DEPLOYMENT_CLEANUP,Removed 0 past-due open deployments (grace_days=100)
2026-01-21T11:12:55.782137,2025-10-06,M1_SHIPMENTS,Processed 282 shipments
2026-01-21T11:13:34.406868,2025-10-06,M5_DEPLOYMENT,Added 102 deployment plans
2026-01-21T11:13:34.675291,2025-10-06,M6_DELIVERY,Processed 103 delivery plans
