date,material,receiving,quantity,ori_deployment_uid,actual_ship_date
2025-09-11,80813608,C810,10,80813608|0386|C810|2025-09-09|net demand for normal|000021,2025-09-09
2025-09-11,80813644,C810,45,80813644|0386|C810|2025-09-09|net demand for normal|000025,2025-09-09
2025-09-11,80813608,C810,32,80813608|0386|C810|2025-09-09|net demand for AO|000020,2025-09-09
2025-09-11,80813644,C810,26,80813644|0386|C810|2025-09-09|net demand for AO|000024,2025-09-09
2025-09-11,80813608,C816,25,80813608|0386|C816|2025-09-09|net demand for normal|000023,2025-09-09
2025-09-11,80813644,C816,60,80813644|0386|C816|2025-09-09|net demand for normal|000027,2025-09-09
2025-09-11,80813608,C816,25,80813608|0386|C816|2025-09-09|net demand for AO|000022,2025-09-09
2025-09-11,80813644,C816,60,80813644|0386|C816|2025-09-09|net demand for AO|000026,2025-09-09
