date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-09-08,80813608,0386,C810,125,80813608|0386|C810|2025-09-08|net demand for normal|000013,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813608,0386,C810,10,80813608|0386|C810|2025-09-08|net demand for normal|000013,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813644,0386,C810,92,80813644|0386|C810|2025-09-08|net demand for normal|000017,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813644,0386,C810,45,80813644|0386|C810|2025-09-08|net demand for normal|000017,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813608,0386,C810,68,80813608|0386|C810|2025-09-08|net demand for AO|000012,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813608,0386,C810,32,80813608|0386|C810|2025-09-08|net demand for AO|000012,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813644,0386,C810,74,80813644|0386|C810|2025-09-08|net demand for AO|000016,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813644,0386,C810,26,80813644|0386|C810|2025-09-08|net demand for AO|000016,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813608,0386,C816,75,80813608|0386|C816|2025-09-08|net demand for normal|000015,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813608,0386,C816,25,80813608|0386|C816|2025-09-08|net demand for normal|000015,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813644,0386,C816,40,80813644|0386|C816|2025-09-08|net demand for normal|000019,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813644,0386,C816,60,80813644|0386|C816|2025-09-08|net demand for normal|000019,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813608,0386,C816,75,80813608|0386|C816|2025-09-08|net demand for AO|000014,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813608,0386,C816,25,80813608|0386|C816|2025-09-08|net demand for AO|000014,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813644,0386,C816,40,80813644|0386|C816|2025-09-08|net demand for AO|000018,2025-09-08,2025-09-10,delivery_shipment
2025-09-08,80813644,0386,C816,60,80813644|0386|C816|2025-09-08|net demand for AO|000018,2025-09-08,2025-09-10,delivery_shipment
