material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21155895,C810,C937,2025-12-15,4,net demand for safety,21155895|C810|C937|2025-12-15|net demand for safety|000002
21155895,C810,D767,2025-12-15,2,net demand for safety,21155895|C810|D767|2025-12-15|net demand for safety|000003
21170683,C810,C937,2025-12-15,3,net demand for safety,21170683|C810|C937|2025-12-15|net demand for safety|000004
21314593,A673,D901,2025-12-15,3,net demand for safety,21314593|A673|D901|2025-12-15|net demand for safety|000005
21315350,A673,D901,2025-12-15,4,net demand for safety,21315350|A673|D901|2025-12-15|net demand for safety|000006
21315474,C810,C937,2025-12-15,1,net demand for safety,21315474|C810|C937|2025-12-15|net demand for safety|000007
21325164,A673,D901,2025-12-15,1,net demand for forecast,21325164|A673|D901|2025-12-15|net demand for forecast|000008
21325164,A673,D901,2025-12-15,1,net demand for forecast,21325164|A673|D901|2025-12-15|net demand for forecast|000009
21325164,A673,D901,2025-12-15,1,net demand for normal,21325164|A673|D901|2025-12-15|net demand for normal|000010
21325164,A673,D901,2025-12-15,1,net demand for safety,21325164|A673|D901|2025-12-15|net demand for safety|000011
21325292,C810,C937,2025-12-15,1,net demand for safety,21325292|C810|C937|2025-12-15|net demand for safety|000012
21434946,A673,D901,2025-12-15,1,net demand for normal,21434946|A673|D901|2025-12-15|net demand for normal|000017
80793615,A673,E564,2025-12-15,1,net demand for forecast,80793615|A673|E564|2025-12-15|net demand for forecast|000022
80804129,C816,C937,2025-12-15,6,net demand for safety,80804129|C816|C937|2025-12-15|net demand for safety|000023
80804699,C816,A673,2025-12-15,1,net demand for forecast,80804699|C816|A673|2025-12-15|net demand for forecast|000031
80804699,C816,A673,2025-12-15,1,net demand for forecast,80804699|C816|A673|2025-12-15|net demand for forecast|000032
80804699,C816,A673,2025-12-15,1,net demand for forecast,80804699|C816|A673|2025-12-15|net demand for forecast|000033
80804699,C816,A673,2025-12-15,1,net demand for forecast,80804699|C816|A673|2025-12-15|net demand for forecast|000034
80804699,C816,A673,2025-12-15,1,net demand for forecast,80804699|C816|A673|2025-12-15|net demand for forecast|000035
80804699,C816,A673,2025-12-15,1,net demand for forecast,80804699|C816|A673|2025-12-15|net demand for forecast|000036
80804699,C816,A673,2025-12-15,1,net demand for net demand for forecast,80804699|C816|A673|2025-12-15|net demand for net demand for forecast|000037
80804703,C816,A680,2025-12-15,1,net demand for forecast,80804703|C816|A680|2025-12-15|net demand for forecast|000045
80804703,C816,A680,2025-12-15,1,net demand for forecast,80804703|C816|A680|2025-12-15|net demand for forecast|000046
80804703,C816,A680,2025-12-15,1,net demand for forecast,80804703|C816|A680|2025-12-15|net demand for forecast|000047
80804703,C816,A680,2025-12-15,1,net demand for forecast,80804703|C816|A680|2025-12-15|net demand for forecast|000048
80804703,C816,A680,2025-12-15,1,net demand for forecast,80804703|C816|A680|2025-12-15|net demand for forecast|000049
80804703,C816,A680,2025-12-15,1,net demand for forecast,80804703|C816|A680|2025-12-15|net demand for forecast|000050
80804703,C816,A680,2025-12-15,2,net demand for forecast,80804703|C816|A680|2025-12-15|net demand for forecast|000051
80807093,C816,A673,2025-12-15,7,net demand for forecast,80807093|C816|A673|2025-12-15|net demand for forecast|000052
80807093,C816,A673,2025-12-15,8,net demand for forecast,80807093|C816|A673|2025-12-15|net demand for forecast|000053
80807093,C816,A673,2025-12-15,8,net demand for forecast,80807093|C816|A673|2025-12-15|net demand for forecast|000054
80807093,C816,A673,2025-12-15,9,net demand for forecast,80807093|C816|A673|2025-12-15|net demand for forecast|000055
80807093,C816,A673,2025-12-15,9,net demand for forecast,80807093|C816|A673|2025-12-15|net demand for forecast|000056
80807093,C816,A673,2025-12-15,9,net demand for forecast,80807093|C816|A673|2025-12-15|net demand for forecast|000057
80807093,C816,A673,2025-12-15,14,net demand for safety,80807093|C816|A673|2025-12-15|net demand for safety|000058
80807117,C816,A673,2025-12-15,2,net demand for forecast,80807117|C816|A673|2025-12-15|net demand for forecast|000059
80807117,C816,A673,2025-12-15,2,net demand for forecast,80807117|C816|A673|2025-12-15|net demand for forecast|000060
80807117,C816,A673,2025-12-15,2,net demand for forecast,80807117|C816|A673|2025-12-15|net demand for forecast|000061
80807117,C816,A673,2025-12-15,2,net demand for forecast,80807117|C816|A673|2025-12-15|net demand for forecast|000062
80807117,C816,A673,2025-12-15,2,net demand for forecast,80807117|C816|A673|2025-12-15|net demand for forecast|000063
80848025,A673,D901,2025-12-15,1,net demand for forecast,80848025|A673|D901|2025-12-15|net demand for forecast|000064
80848025,A673,D901,2025-12-15,1,net demand for forecast,80848025|A673|D901|2025-12-15|net demand for forecast|000065
80848025,A673,D901,2025-12-15,1,net demand for forecast,80848025|A673|D901|2025-12-15|net demand for forecast|000066
80848025,A673,D901,2025-12-15,8,net demand for safety,80848025|A673|D901|2025-12-15|net demand for safety|000067
80848031,A673,D901,2025-12-15,3,net demand for safety,80848031|A673|D901|2025-12-15|net demand for safety|000068
80848031,C816,A668,2025-12-15,4,net demand for safety,80848031|C816|A668|2025-12-15|net demand for safety|000069
21132758,C810,E295,2025-12-16,34,net demand for safety,21132758|C810|E295|2025-12-16|net demand for safety|000070
21143110,C810,E295,2025-12-16,3,net demand for safety,21143110|C810|E295|2025-12-16|net demand for safety|000071
21151196,C810,E295,2025-12-16,27,net demand for safety,21151196|C810|E295|2025-12-16|net demand for safety|000072
21155895,C810,C937,2025-12-16,1,net demand for safety,21155895|C810|C937|2025-12-16|net demand for safety|000073
21170683,C810,C937,2025-12-16,1,net demand for safety,21170683|C810|C937|2025-12-16|net demand for safety|000074
21291975,A673,D901,2025-12-16,22,net demand for normal,21291975|A673|D901|2025-12-16|net demand for normal|000075
21301637,A673,D901,2025-12-16,53,net demand for normal,21301637|A673|D901|2025-12-16|net demand for normal|000076
21301637,C816,E569,2025-12-16,1,net demand for normal,21301637|C816|E569|2025-12-16|net demand for normal|000077
21315350,A673,D901,2025-12-16,22,net demand for safety,21315350|A673|D901|2025-12-16|net demand for safety|000078
21315474,C810,C937,2025-12-16,1,net demand for safety,21315474|C810|C937|2025-12-16|net demand for safety|000079
21325292,C810,C937,2025-12-16,2,net demand for safety,21325292|C810|C937|2025-12-16|net demand for safety|000080
21325292,C810,D767,2025-12-16,4,net demand for safety,21325292|C810|D767|2025-12-16|net demand for safety|000081
21419490,C816,A680,2025-12-16,2,net demand for forecast,21419490|C816|A680|2025-12-16|net demand for forecast|000088
21419490,C816,A680,2025-12-16,2,net demand for forecast,21419490|C816|A680|2025-12-16|net demand for forecast|000089
80793615,A673,E564,2025-12-16,1,net demand for forecast,80793615|A673|E564|2025-12-16|net demand for forecast|000100
80804703,C816,A680,2025-12-16,1,net demand for forecast,80804703|C816|A680|2025-12-16|net demand for forecast|000101
80804703,C816,A680,2025-12-16,1,net demand for forecast,80804703|C816|A680|2025-12-16|net demand for forecast|000102
80807093,C816,A673,2025-12-16,4,net demand for forecast,80807093|C816|A673|2025-12-16|net demand for forecast|000103
80807093,C816,A673,2025-12-16,6,net demand for forecast,80807093|C816|A673|2025-12-16|net demand for forecast|000104
80807093,C816,A673,2025-12-16,6,net demand for forecast,80807093|C816|A673|2025-12-16|net demand for forecast|000105
80807093,C816,A673,2025-12-16,6,net demand for forecast,80807093|C816|A673|2025-12-16|net demand for forecast|000106
80807093,C816,A673,2025-12-16,6,net demand for forecast,80807093|C816|A673|2025-12-16|net demand for forecast|000107
80807093,C816,A673,2025-12-16,12,net demand for forecast,80807093|C816|A673|2025-12-16|net demand for forecast|000108
80848025,A673,D901,2025-12-16,1,net demand for forecast,80848025|A673|D901|2025-12-16|net demand for forecast|000109
80848025,A673,D901,2025-12-16,1,net demand for forecast,80848025|A673|D901|2025-12-16|net demand for forecast|000110
80848025,A673,D901,2025-12-16,1,net demand for forecast,80848025|A673|D901|2025-12-16|net demand for forecast|000111
80848025,A673,D901,2025-12-16,1,net demand for forecast,80848025|A673|D901|2025-12-16|net demand for forecast|000112
80848025,A673,D901,2025-12-16,1,net demand for safety,80848025|A673|D901|2025-12-16|net demand for safety|000113
80848031,A673,D901,2025-12-16,1,net demand for safety,80848031|A673|D901|2025-12-16|net demand for safety|000114
21128377,C810,C937,2025-12-17,2,net demand for safety,21128377|C810|C937|2025-12-17|net demand for safety|000115
21132758,C810,E295,2025-12-17,3,net demand for safety,21132758|C810|E295|2025-12-17|net demand for safety|000116
21141769,C810,C937,2025-12-17,1,net demand for safety,21141769|C810|C937|2025-12-17|net demand for safety|000117
21141769,C810,D767,2025-12-17,5,net demand for safety,21141769|C810|D767|2025-12-17|net demand for safety|000118
21151196,C810,E295,2025-12-17,6,net demand for safety,21151196|C810|E295|2025-12-17|net demand for safety|000119
21155895,C810,C937,2025-12-17,1,net demand for safety,21155895|C810|C937|2025-12-17|net demand for safety|000120
21170683,C810,C937,2025-12-17,1,net demand for safety,21170683|C810|C937|2025-12-17|net demand for safety|000121
21301637,C816,E569,2025-12-17,1,net demand for normal,21301637|C816|E569|2025-12-17|net demand for normal|000122
21315352,C810,C937,2025-12-17,1,net demand for safety,21315352|C810|C937|2025-12-17|net demand for safety|000123
21315474,C810,C937,2025-12-17,4,net demand for safety,21315474|C810|C937|2025-12-17|net demand for safety|000124
21325292,C810,C937,2025-12-17,4,net demand for safety,21325292|C810|C937|2025-12-17|net demand for safety|000125
21325292,C810,D767,2025-12-17,4,net demand for safety,21325292|C810|D767|2025-12-17|net demand for safety|000126
80793615,C816,C937,2025-12-17,1,net demand for normal,80793615|C816|C937|2025-12-17|net demand for normal|000127
80804135,A673,D901,2025-12-17,5,net demand for safety,80804135|A673|D901|2025-12-17|net demand for safety|000128
80804706,C816,A672,2025-12-17,1,net demand for forecast,80804706|C816|A672|2025-12-17|net demand for forecast|000129
80804706,C816,A672,2025-12-17,1,net demand for forecast,80804706|C816|A672|2025-12-17|net demand for forecast|000130
80804706,C816,A672,2025-12-17,1,net demand for forecast,80804706|C816|A672|2025-12-17|net demand for forecast|000131
80804706,C816,A672,2025-12-17,1,net demand for forecast,80804706|C816|A672|2025-12-17|net demand for forecast|000132
80804706,C816,A672,2025-12-17,1,net demand for forecast,80804706|C816|A672|2025-12-17|net demand for forecast|000133
80804706,C816,A672,2025-12-17,1,net demand for forecast,80804706|C816|A672|2025-12-17|net demand for forecast|000134
80804706,C816,A672,2025-12-17,1,net demand for forecast,80804706|C816|A672|2025-12-17|net demand for forecast|000135
80807117,C816,A673,2025-12-17,1,net demand for AO,80807117|C816|A673|2025-12-17|net demand for AO|000136
80807117,C816,A673,2025-12-17,1,net demand for AO,80807117|C816|A673|2025-12-17|net demand for AO|000137
80812846,A673,C819,2025-12-17,1,net demand for safety,80812846|A673|C819|2025-12-17|net demand for safety|000138
80840975,A672,C819,2025-12-17,1,net demand for safety,80840975|A672|C819|2025-12-17|net demand for safety|000139
80840976,A673,C819,2025-12-17,1,net demand for safety,80840976|A673|C819|2025-12-17|net demand for safety|000140
80848028,A673,D901,2025-12-17,1,net demand for safety,80848028|A673|D901|2025-12-17|net demand for safety|000141
80848031,A673,D901,2025-12-17,1,net demand for safety,80848031|A673|D901|2025-12-17|net demand for safety|000142
80848031,C816,A668,2025-12-17,1,net demand for safety,80848031|C816|A668|2025-12-17|net demand for safety|000143
