transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21128377|0386|A716|2026-02-04|net demand for safety|052929_transit_20260205-0386-A716-Train-#1,2026-02-17,21128377,0386,A716,2026-02-05,2026-02-19,20,21128377|0386|A716|2026-02-04|net demand for safety|052929,20260205-0386-A716-Train-#1
21133312|0386|A716|2026-02-05|net demand for safety|054003_transit_20260205-0386-A716-Train-#1,2026-02-17,21133312,0386,A716,2026-02-05,2026-02-19,4,21133312|0386|A716|2026-02-05|net demand for safety|054003,20260205-0386-A716-Train-#1
80804136|0386|A716|2026-02-05|net demand for safety|054279_transit_20260205-0386-A716-Train-#1,2026-02-17,80804136,0386,A716,2026-02-05,2026-02-19,7,80804136|0386|A716|2026-02-05|net demand for safety|054279,20260205-0386-A716-Train-#1
80807116|0386|A716|2026-02-05|net demand for safety|054634_transit_20260205-0386-A716-Train-#1,2026-02-17,80807116,0386,A716,2026-02-05,2026-02-19,9,80807116|0386|A716|2026-02-05|net demand for safety|054634,20260205-0386-A716-Train-#1
80848026|0386|A716|2026-02-05|net demand for safety|054850_transit_20260205-0386-A716-Train-#1,2026-02-17,80848026,0386,A716,2026-02-05,2026-02-20,62,80848026|0386|A716|2026-02-05|net demand for safety|054850,20260205-0386-A716-Train-#1
21128377|0386|A716|2026-02-04|push replenishment|052930_transit_20260205-0386-A716-Train-#1,2026-02-17,21128377,0386,A716,2026-02-05,2026-02-20,66,21128377|0386|A716|2026-02-04|push replenishment|052930,20260205-0386-A716-Train-#1
80804130|0386|A716|2026-02-04|push replenishment|053202_transit_20260205-0386-A716-Train-#1,2026-02-17,80804130,0386,A716,2026-02-05,2026-02-19,2,80804130|0386|A716|2026-02-04|push replenishment|053202,20260205-0386-A716-Train-#1
80807097|0386|A716|2026-02-04|push replenishment|053507_transit_20260205-0386-A716-Train-#1,2026-02-17,80807097,0386,A716,2026-02-05,2026-02-19,13,80807097|0386|A716|2026-02-04|push replenishment|053507,20260205-0386-A716-Train-#1
80807102|0386|A716|2026-02-04|push replenishment|053518_transit_20260205-0386-A716-Train-#1,2026-02-17,80807102,0386,A716,2026-02-05,2026-02-20,60,80807102|0386|A716|2026-02-04|push replenishment|053518,20260205-0386-A716-Train-#1
80807119|0386|A716|2026-02-04|push replenishment|053618_transit_20260205-0386-A716-Train-#1,2026-02-17,80807119,0386,A716,2026-02-05,2026-02-19,46,80807119|0386|A716|2026-02-04|push replenishment|053618,20260205-0386-A716-Train-#1
21103371|0386|A716|2026-02-05|push replenishment|053899_transit_20260205-0386-A716-Train-#1,2026-02-17,21103371,0386,A716,2026-02-05,2026-02-19,8,21103371|0386|A716|2026-02-05|push replenishment|053899,20260205-0386-A716-Train-#1
21132758|0386|A716|2026-02-05|push replenishment|053935_transit_20260205-0386-A716-Train-#1,2026-02-17,21132758,0386,A716,2026-02-05,2026-02-20,41,21132758|0386|A716|2026-02-05|push replenishment|053935,20260205-0386-A716-Train-#1
21133312|0386|A716|2026-02-05|push replenishment|054004_transit_20260205-0386-A716-Train-#1,2026-02-17,21133312,0386,A716,2026-02-05,2026-02-19,41,21133312|0386|A716|2026-02-05|push replenishment|054004,20260205-0386-A716-Train-#1
21162696|0386|A716|2026-02-05|push replenishment|054073_transit_20260205-0386-A716-Train-#1,2026-02-17,21162696,0386,A716,2026-02-05,2026-02-19,7,21162696|0386|A716|2026-02-05|push replenishment|054073,20260205-0386-A716-Train-#1
21419485|0386|A716|2026-02-05|push replenishment|054119_transit_20260205-0386-A716-Train-#1,2026-02-17,21419485,0386,A716,2026-02-05,2026-02-19,210,21419485|0386|A716|2026-02-05|push replenishment|054119,20260205-0386-A716-Train-#1
80804137|0386|A716|2026-02-05|push replenishment|054307_transit_20260205-0386-A716-Train-#1,2026-02-17,80804137,0386,A716,2026-02-05,2026-02-19,19,80804137|0386|A716|2026-02-05|push replenishment|054307,20260205-0386-A716-Train-#1
80807116|0386|A716|2026-02-05|push replenishment|054635_transit_20260205-0386-A716-Train-#1,2026-02-17,80807116,0386,A716,2026-02-05,2026-02-19,172,80807116|0386|A716|2026-02-05|push replenishment|054635,20260205-0386-A716-Train-#1
80812099|0386|A716|2026-02-05|push replenishment|054693_transit_20260205-0386-A716-Train-#1,2026-02-17,80812099,0386,A716,2026-02-05,2026-02-19,43,80812099|0386|A716|2026-02-05|push replenishment|054693,20260205-0386-A716-Train-#1
80863643|0386|A716|2026-02-05|push replenishment|054903_transit_20260205-0386-A716-Train-#1,2026-02-17,80863643,0386,A716,2026-02-05,2026-02-19,12,80863643|0386|A716|2026-02-05|push replenishment|054903,20260205-0386-A716-Train-#1
21098519|0386|A716|2026-02-06|push replenishment|054969_transit_20260206-0386-A716-Train-#1,2026-02-17,21098519,0386,A716,2026-02-06,2026-02-20,42,21098519|0386|A716|2026-02-06|push replenishment|054969,20260206-0386-A716-Train-#1
80804132|0386|A716|2026-02-06|push replenishment|055204_transit_20260206-0386-A716-Train-#1,2026-02-17,80804132,0386,A716,2026-02-06,2026-02-20,247,80804132|0386|A716|2026-02-06|push replenishment|055204,20260206-0386-A716-Train-#1
