material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21155895,C810,C937,2025-12-15,4,net demand for safety,21155895|C810|C937|2025-12-15|net demand for safety|000002
21155895,C810,D767,2025-12-15,2,net demand for safety,21155895|C810|D767|2025-12-15|net demand for safety|000003
21170683,C810,C937,2025-12-15,3,net demand for safety,21170683|C810|C937|2025-12-15|net demand for safety|000004
21314593,A673,D901,2025-12-15,3,net demand for safety,21314593|A673|D901|2025-12-15|net demand for safety|000005
21315350,A673,D901,2025-12-15,4,net demand for safety,21315350|A673|D901|2025-12-15|net demand for safety|000006
21315474,C810,C937,2025-12-15,1,net demand for safety,21315474|C810|C937|2025-12-15|net demand for safety|000007
21325164,A673,D901,2025-12-15,1,net demand for forecast,21325164|A673|D901|2025-12-15|net demand for forecast|000008
21325164,A673,D901,2025-12-15,1,net demand for forecast,21325164|A673|D901|2025-12-15|net demand for forecast|000009
21325164,A673,D901,2025-12-15,1,net demand for normal,21325164|A673|D901|2025-12-15|net demand for normal|000010
21325164,A673,D901,2025-12-15,1,net demand for safety,21325164|A673|D901|2025-12-15|net demand for safety|000011
21325292,C810,C937,2025-12-15,1,net demand for safety,21325292|C810|C937|2025-12-15|net demand for safety|000012
21434946,A673,D901,2025-12-15,1,net demand for normal,21434946|A673|D901|2025-12-15|net demand for normal|000017
80793615,A673,E564,2025-12-15,1,net demand for forecast,80793615|A673|E564|2025-12-15|net demand for forecast|000022
80804129,C816,C937,2025-12-15,6,net demand for safety,80804129|C816|C937|2025-12-15|net demand for safety|000023
80804699,C816,A673,2025-12-15,1,net demand for net demand for forecast,80804699|C816|A673|2025-12-15|net demand for net demand for forecast|000037
80848025,A673,D901,2025-12-15,1,net demand for forecast,80848025|A673|D901|2025-12-15|net demand for forecast|000064
80848025,A673,D901,2025-12-15,1,net demand for forecast,80848025|A673|D901|2025-12-15|net demand for forecast|000065
80848025,A673,D901,2025-12-15,1,net demand for forecast,80848025|A673|D901|2025-12-15|net demand for forecast|000066
80848025,A673,D901,2025-12-15,8,net demand for safety,80848025|A673|D901|2025-12-15|net demand for safety|000067
80848031,A673,D901,2025-12-15,3,net demand for safety,80848031|A673|D901|2025-12-15|net demand for safety|000068
21132758,C810,E295,2025-12-16,34,net demand for safety,21132758|C810|E295|2025-12-16|net demand for safety|000070
21143110,C810,E295,2025-12-16,3,net demand for safety,21143110|C810|E295|2025-12-16|net demand for safety|000071
21151196,C810,E295,2025-12-16,27,net demand for safety,21151196|C810|E295|2025-12-16|net demand for safety|000072
21155895,C810,C937,2025-12-16,1,net demand for safety,21155895|C810|C937|2025-12-16|net demand for safety|000073
21170683,C810,C937,2025-12-16,1,net demand for safety,21170683|C810|C937|2025-12-16|net demand for safety|000074
21291975,A673,D901,2025-12-16,22,net demand for normal,21291975|A673|D901|2025-12-16|net demand for normal|000075
21301637,A673,D901,2025-12-16,53,net demand for normal,21301637|A673|D901|2025-12-16|net demand for normal|000076
21301637,C816,E569,2025-12-16,1,net demand for normal,21301637|C816|E569|2025-12-16|net demand for normal|000077
21315350,A673,D901,2025-12-16,22,net demand for safety,21315350|A673|D901|2025-12-16|net demand for safety|000078
21315474,C810,C937,2025-12-16,1,net demand for safety,21315474|C810|C937|2025-12-16|net demand for safety|000079
21325292,C810,C937,2025-12-16,2,net demand for safety,21325292|C810|C937|2025-12-16|net demand for safety|000080
21325292,C810,D767,2025-12-16,4,net demand for safety,21325292|C810|D767|2025-12-16|net demand for safety|000081
21419490,C816,A680,2025-12-16,2,net demand for forecast,21419490|C816|A680|2025-12-16|net demand for forecast|000088
21419490,C816,A680,2025-12-16,2,net demand for forecast,21419490|C816|A680|2025-12-16|net demand for forecast|000089
80793615,A673,E564,2025-12-16,1,net demand for forecast,80793615|A673|E564|2025-12-16|net demand for forecast|000100
80848025,A673,D901,2025-12-16,1,net demand for forecast,80848025|A673|D901|2025-12-16|net demand for forecast|000109
80848025,A673,D901,2025-12-16,1,net demand for forecast,80848025|A673|D901|2025-12-16|net demand for forecast|000110
80848025,A673,D901,2025-12-16,1,net demand for forecast,80848025|A673|D901|2025-12-16|net demand for forecast|000111
80848025,A673,D901,2025-12-16,1,net demand for forecast,80848025|A673|D901|2025-12-16|net demand for forecast|000112
80848025,A673,D901,2025-12-16,1,net demand for safety,80848025|A673|D901|2025-12-16|net demand for safety|000113
80848031,A673,D901,2025-12-16,1,net demand for safety,80848031|A673|D901|2025-12-16|net demand for safety|000114
21128377,C810,C937,2025-12-17,2,net demand for safety,21128377|C810|C937|2025-12-17|net demand for safety|000115
21132758,C810,E295,2025-12-17,3,net demand for safety,21132758|C810|E295|2025-12-17|net demand for safety|000116
21141769,C810,C937,2025-12-17,1,net demand for safety,21141769|C810|C937|2025-12-17|net demand for safety|000117
21141769,C810,D767,2025-12-17,5,net demand for safety,21141769|C810|D767|2025-12-17|net demand for safety|000118
21151196,C810,E295,2025-12-17,6,net demand for safety,21151196|C810|E295|2025-12-17|net demand for safety|000119
21155895,C810,C937,2025-12-17,1,net demand for safety,21155895|C810|C937|2025-12-17|net demand for safety|000120
21170683,C810,C937,2025-12-17,1,net demand for safety,21170683|C810|C937|2025-12-17|net demand for safety|000121
21301637,C816,E569,2025-12-17,1,net demand for normal,21301637|C816|E569|2025-12-17|net demand for normal|000122
21315352,C810,C937,2025-12-17,1,net demand for safety,21315352|C810|C937|2025-12-17|net demand for safety|000123
21315474,C810,C937,2025-12-17,4,net demand for safety,21315474|C810|C937|2025-12-17|net demand for safety|000124
21325292,C810,C937,2025-12-17,4,net demand for safety,21325292|C810|C937|2025-12-17|net demand for safety|000125
21325292,C810,D767,2025-12-17,4,net demand for safety,21325292|C810|D767|2025-12-17|net demand for safety|000126
80793615,C816,C937,2025-12-17,1,net demand for normal,80793615|C816|C937|2025-12-17|net demand for normal|000127
80804135,A673,D901,2025-12-17,5,net demand for safety,80804135|A673|D901|2025-12-17|net demand for safety|000128
80812846,A673,C819,2025-12-17,1,net demand for safety,80812846|A673|C819|2025-12-17|net demand for safety|000138
80840975,A672,C819,2025-12-17,1,net demand for safety,80840975|A672|C819|2025-12-17|net demand for safety|000139
80840976,A673,C819,2025-12-17,1,net demand for safety,80840976|A673|C819|2025-12-17|net demand for safety|000140
80848028,A673,D901,2025-12-17,1,net demand for safety,80848028|A673|D901|2025-12-17|net demand for safety|000141
80848031,A673,D901,2025-12-17,1,net demand for safety,80848031|A673|D901|2025-12-17|net demand for safety|000142
21128377,C810,C937,2025-12-18,4,net demand for safety,21128377|C810|C937|2025-12-18|net demand for safety|000144
21132988,C810,C937,2025-12-18,1,net demand for safety,21132988|C810|C937|2025-12-18|net demand for safety|000145
21151196,C816,C563,2025-12-18,2,net demand for safety,21151196|C816|C563|2025-12-18|net demand for safety|000146
21151196,C816,E569,2025-12-18,1,net demand for safety,21151196|C816|E569|2025-12-18|net demand for safety|000147
21155895,C810,C937,2025-12-18,1,net demand for safety,21155895|C810|C937|2025-12-18|net demand for safety|000148
21155895,C810,D767,2025-12-18,1,net demand for safety,21155895|C810|D767|2025-12-18|net demand for safety|000149
21291975,A673,D901,2025-12-18,23,net demand for normal,21291975|A673|D901|2025-12-18|net demand for normal|000150
21301637,A673,D901,2025-12-18,42,net demand for normal,21301637|A673|D901|2025-12-18|net demand for normal|000151
21301637,C816,E569,2025-12-18,2,net demand for normal,21301637|C816|E569|2025-12-18|net demand for normal|000152
21314595,C816,E569,2025-12-18,2,net demand for safety,21314595|C816|E569|2025-12-18|net demand for safety|000153
21315352,C810,C937,2025-12-18,4,net demand for safety,21315352|C810|C937|2025-12-18|net demand for safety|000154
21315474,C810,C937,2025-12-18,1,net demand for safety,21315474|C810|C937|2025-12-18|net demand for safety|000155
80804135,C816,E564,2025-12-18,3,net demand for safety,80804135|C816|E564|2025-12-18|net demand for safety|000160
80807096,C816,E569,2025-12-18,3,net demand for safety,80807096|C816|E569|2025-12-18|net demand for safety|000161
80812846,A673,C819,2025-12-18,1,net demand for safety,80812846|A673|C819|2025-12-18|net demand for safety|000162
80848028,A673,D901,2025-12-18,2,net demand for safety,80848028|A673|D901|2025-12-18|net demand for safety|000163
80848031,A673,D901,2025-12-18,1,net demand for safety,80848031|A673|D901|2025-12-18|net demand for safety|000164
21098519,A673,E556,2025-12-19,5,net demand for safety,21098519|A673|E556|2025-12-19|net demand for safety|000166
21121756,A673,E564,2025-12-19,1,net demand for normal,21121756|A673|E564|2025-12-19|net demand for normal|000167
21121756,C810,C937,2025-12-19,2,net demand for normal,21121756|C810|C937|2025-12-19|net demand for normal|000168
21127730,C810,E295,2025-12-19,2,net demand for safety,21127730|C810|E295|2025-12-19|net demand for safety|000169
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000170
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000171
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000172
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000173
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000174
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000175
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000176
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000177
21128067,A673,C819,2025-12-19,1,net demand for forecast,21128067|A673|C819|2025-12-19|net demand for forecast|000178
21128377,C810,C937,2025-12-19,4,net demand for safety,21128377|C810|C937|2025-12-19|net demand for safety|000179
21132758,C816,C563,2025-12-19,1,net demand for safety,21132758|C816|C563|2025-12-19|net demand for safety|000180
21132758,C816,D191,2025-12-19,1,net demand for safety,21132758|C816|D191|2025-12-19|net demand for safety|000181
21132988,C810,C937,2025-12-19,2,net demand for safety,21132988|C810|C937|2025-12-19|net demand for safety|000182
21137866,C810,C937,2025-12-19,3,net demand for safety,21137866|C810|C937|2025-12-19|net demand for safety|000183
21141769,A673,E556,2025-12-19,1,net demand for safety,21141769|A673|E556|2025-12-19|net demand for safety|000184
21143103,C810,C937,2025-12-19,1,net demand for safety,21143103|C810|C937|2025-12-19|net demand for safety|000249
21148509,C810,D767,2025-12-19,14,net demand for safety,21148509|C810|D767|2025-12-19|net demand for safety|000250
21291975,A673,D901,2025-12-19,20,net demand for normal,21291975|A673|D901|2025-12-19|net demand for normal|000335
21301637,A673,D901,2025-12-19,33,net demand for normal,21301637|A673|D901|2025-12-19|net demand for normal|000460
21301637,C816,C937,2025-12-19,1,net demand for normal,21301637|C816|C937|2025-12-19|net demand for normal|000461
21301637,C816,E569,2025-12-19,2,net demand for normal,21301637|C816|E569|2025-12-19|net demand for normal|000462
21314593,C810,C937,2025-12-19,8,net demand for safety,21314593|C810|C937|2025-12-19|net demand for safety|000463
21315352,A673,D901,2025-12-19,5,net demand for forecast,21315352|A673|D901|2025-12-19|net demand for forecast|000464
21315352,A673,D901,2025-12-19,5,net demand for forecast,21315352|A673|D901|2025-12-19|net demand for forecast|000465
21315352,A673,D901,2025-12-19,8,net demand for forecast,21315352|A673|D901|2025-12-19|net demand for forecast|000466
21315352,A673,D901,2025-12-19,8,net demand for forecast,21315352|A673|D901|2025-12-19|net demand for forecast|000467
21315352,C810,C937,2025-12-19,3,net demand for safety,21315352|C810|C937|2025-12-19|net demand for safety|000468
21315474,C810,C937,2025-12-19,1,net demand for safety,21315474|C810|C937|2025-12-19|net demand for safety|000469
21315474,C816,E569,2025-12-19,1,net demand for forecast,21315474|C816|E569|2025-12-19|net demand for forecast|000470
21315474,C816,E569,2025-12-19,1,net demand for forecast,21315474|C816|E569|2025-12-19|net demand for forecast|000471
21315474,C816,E569,2025-12-19,1,net demand for forecast,21315474|C816|E569|2025-12-19|net demand for forecast|000472
21315474,C816,E569,2025-12-19,1,net demand for forecast,21315474|C816|E569|2025-12-19|net demand for forecast|000473
21315474,C816,E569,2025-12-19,1,net demand for forecast,21315474|C816|E569|2025-12-19|net demand for forecast|000474
21315474,C816,E569,2025-12-19,1,net demand for forecast,21315474|C816|E569|2025-12-19|net demand for forecast|000475
21315474,C816,E569,2025-12-19,1,net demand for forecast,21315474|C816|E569|2025-12-19|net demand for forecast|000476
21419490,C816,A680,2025-12-19,21,net demand for normal,21419490|C816|A680|2025-12-19|net demand for normal|000715
80804127,A673,E564,2025-12-19,1,net demand for safety,80804127|A673|E564|2025-12-19|net demand for safety|000721
80804135,A673,C819,2025-12-19,2,net demand for safety,80804135|A673|C819|2025-12-19|net demand for safety|000722
80804135,A673,D901,2025-12-19,21,net demand for safety,80804135|A673|D901|2025-12-19|net demand for safety|000723
80804135,A673,E556,2025-12-19,16,net demand for safety,80804135|A673|E556|2025-12-19|net demand for safety|000724
80804135,C816,E564,2025-12-19,12,net demand for safety,80804135|C816|E564|2025-12-19|net demand for safety|000725
80807096,C816,E569,2025-12-19,4,net demand for safety,80807096|C816|E569|2025-12-19|net demand for safety|000726
80807118,C816,E569,2025-12-19,1,net demand for safety,80807118|C816|E569|2025-12-19|net demand for safety|000727
80812846,A673,C819,2025-12-19,6,net demand for safety,80812846|A673|C819|2025-12-19|net demand for safety|000728
80840975,A672,C819,2025-12-19,1,net demand for safety,80840975|A672|C819|2025-12-19|net demand for safety|000729
80840976,C816,E569,2025-12-19,1,net demand for safety,80840976|C816|E569|2025-12-19|net demand for safety|000730
80848028,A673,D901,2025-12-19,4,net demand for safety,80848028|A673|D901|2025-12-19|net demand for safety|000731
80848031,A673,D901,2025-12-19,1,net demand for forecast,80848031|A673|D901|2025-12-19|net demand for forecast|000732
80848031,A673,D901,2025-12-19,1,net demand for forecast,80848031|A673|D901|2025-12-19|net demand for forecast|000733
80848031,A673,D901,2025-12-19,1,net demand for forecast,80848031|A673|D901|2025-12-19|net demand for forecast|000734
80848031,A673,D901,2025-12-19,1,net demand for forecast,80848031|A673|D901|2025-12-19|net demand for forecast|000735
80848031,A673,D901,2025-12-19,1,net demand for safety,80848031|A673|D901|2025-12-19|net demand for safety|000736
21098519,A673,E556,2025-12-20,4,net demand for safety,21098519|A673|E556|2025-12-20|net demand for safety|000738
21103371,C810,E295,2025-12-20,22,net demand for safety,21103371|C810|E295|2025-12-20|net demand for safety|000739
21113405,C810,C937,2025-12-20,2,net demand for normal,21113405|C810|C937|2025-12-20|net demand for normal|000740
21121756,A673,E564,2025-12-20,2,net demand for normal,21121756|A673|E564|2025-12-20|net demand for normal|000741
21121756,C816,D767,2025-12-20,3,net demand for normal,21121756|C816|D767|2025-12-20|net demand for normal|000742
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000785
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000786
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000787
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000788
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000789
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000790
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000791
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000792
21128067,A673,C819,2025-12-20,1,net demand for forecast,21128067|A673|C819|2025-12-20|net demand for forecast|000793
21128067,C810,C937,2025-12-20,1,net demand for safety,21128067|C810|C937|2025-12-20|net demand for safety|000794
21137866,C810,C937,2025-12-20,8,net demand for safety,21137866|C810|C937|2025-12-20|net demand for safety|000795
21143103,C816,E569,2025-12-20,1,net demand for safety,21143103|C816|E569|2025-12-20|net demand for safety|000796
21148509,C810,D767,2025-12-20,2,net demand for safety,21148509|C810|D767|2025-12-20|net demand for safety|000797
21165816,C810,C937,2025-12-20,1,net demand for safety,21165816|C810|C937|2025-12-20|net demand for safety|000798
