material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21434946,A673,D901,2025-12-15,1,net demand for normal,21434946|A673|D901|2025-12-15|net demand for normal|000017
80839736,A672,E556,2026-01-09,11,net demand for normal,80839736|A672|E556|2026-01-09|net demand for normal|020128
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020432
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020433
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020434
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020435
80839736,A672,E556,2026-01-10,59,net demand for normal,80839736|A672|E556|2026-01-10|net demand for normal|021564
80839736,A672,E556,2026-01-11,9,net demand for normal,80839736|A672|E556|2026-01-11|net demand for normal|023408
21143102,C816,D191,2026-01-28,1,net demand for forecast,21143102|C816|D191|2026-01-28|net demand for forecast|044313
21143102,C816,D191,2026-01-28,1,net demand for forecast,21143102|C816|D191|2026-01-28|net demand for forecast|044314
21143102,C816,D191,2026-01-28,1,net demand for forecast,21143102|C816|D191|2026-01-28|net demand for forecast|044315
21143102,C816,D191,2026-01-28,1,net demand for forecast,21143102|C816|D191|2026-01-28|net demand for forecast|044316
21143102,C816,D191,2026-01-28,3,net demand for safety,21143102|C816|D191|2026-01-28|net demand for safety|044317
21151196,C816,D191,2026-01-28,1,net demand for safety,21151196|C816|D191|2026-01-28|net demand for safety|044350
80804134,C816,D191,2026-01-28,1,net demand for forecast,80804134|C816|D191|2026-01-28|net demand for forecast|044548
80804134,C816,D191,2026-01-28,1,net demand for forecast,80804134|C816|D191|2026-01-28|net demand for forecast|044549
80804134,C816,D191,2026-01-28,1,net demand for forecast,80804134|C816|D191|2026-01-28|net demand for forecast|044550
80804134,C816,D191,2026-01-28,1,net demand for forecast,80804134|C816|D191|2026-01-28|net demand for forecast|044551
80807116,C816,D191,2026-01-28,3,net demand for forecast,80807116|C816|D191|2026-01-28|net demand for forecast|044841
80807116,C816,D191,2026-01-28,3,net demand for forecast,80807116|C816|D191|2026-01-28|net demand for forecast|044842
80807116,C816,D191,2026-01-28,3,net demand for forecast,80807116|C816|D191|2026-01-28|net demand for forecast|044843
80807116,C816,D191,2026-01-28,3,net demand for forecast,80807116|C816|D191|2026-01-28|net demand for forecast|044844
80807116,C816,D191,2026-01-28,12,net demand for safety,80807116|C816|D191|2026-01-28|net demand for safety|044845
80812845,C816,D191,2026-01-28,1,net demand for AO,80812845|C816|D191|2026-01-28|net demand for AO|044930
80812845,C816,D191,2026-01-28,1,net demand for AO,80812845|C816|D191|2026-01-28|net demand for AO|044931
