material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21434946,A673,D901,2025-12-15,1,net demand for normal,21434946|A673|D901|2025-12-15|net demand for normal|000017
80839736,A672,E556,2026-01-09,11,net demand for normal,80839736|A672|E556|2026-01-09|net demand for normal|020128
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020432
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020433
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020434
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020435
80839736,A672,E556,2026-01-10,59,net demand for normal,80839736|A672|E556|2026-01-10|net demand for normal|021564
80839736,A672,E556,2026-01-11,9,net demand for normal,80839736|A672|E556|2026-01-11|net demand for normal|023408
21447518,A672,A715,2026-02-10,2,net demand for safety,21447518|A672|A715|2026-02-10|net demand for safety|058662
21162696,C816,C937,2026-02-11,1,net demand for safety,21162696|C816|C937|2026-02-11|net demand for safety|059310
21354246,C816,C937,2026-02-11,1,net demand for safety,21354246|C816|C937|2026-02-11|net demand for safety|059355
80864470,C816,C937,2026-02-11,1,net demand for forecast,80864470|C816|C937|2026-02-11|net demand for forecast|059807
80864470,C816,C937,2026-02-11,1,net demand for forecast,80864470|C816|C937|2026-02-11|net demand for forecast|059808
80864470,C816,C937,2026-02-11,1,net demand for forecast,80864470|C816|C937|2026-02-11|net demand for forecast|059809
80864470,C816,C937,2026-02-11,1,net demand for forecast,80864470|C816|C937|2026-02-11|net demand for forecast|059810
80864470,C816,C937,2026-02-11,1,net demand for forecast,80864470|C816|C937|2026-02-11|net demand for forecast|059811
80864470,C816,C937,2026-02-11,1,net demand for forecast,80864470|C816|C937|2026-02-11|net demand for forecast|059812
80864470,C816,C937,2026-02-11,4,net demand for safety,80864470|C816|C937|2026-02-11|net demand for safety|059813
21354246,C816,C937,2026-02-12,1,net demand for forecast,21354246|C816|C937|2026-02-12|net demand for forecast|060006
21354246,C816,C937,2026-02-12,1,net demand for forecast,21354246|C816|C937|2026-02-12|net demand for forecast|060007
21354246,C816,C937,2026-02-12,1,net demand for forecast,21354246|C816|C937|2026-02-12|net demand for forecast|060008
21354246,C816,C937,2026-02-12,3,net demand for safety,21354246|C816|C937|2026-02-12|net demand for safety|060009
21447518,A672,A715,2026-02-12,1,net demand for safety,21447518|A672|A715|2026-02-12|net demand for safety|060084
80804127,C816,C937,2026-02-12,1,net demand for safety,80804127|C816|C937|2026-02-12|net demand for safety|060088
21377504,C816,C937,2026-02-13,1,net demand for safety,21377504|C816|C937|2026-02-13|net demand for safety|060522
80804127,C816,C937,2026-02-13,1,net demand for safety,80804127|C816|C937|2026-02-13|net demand for safety|060604
